Municipality,Bachelor,1BR,2BR,3BR,4BR
EDSON,900,"1,000","1,200","1,300","1,508"
ELK POINT,807,952,"1,084","1,181","1,500"
ELNORA,794,892,"1,031","1,239","1,500"
ENILDA,666,922,"1,150","1,347","1,562"
ENTWISTLE,807,952,"1,084","1,181","1,500"
EVANSBURG,807,952,"1,084","1,181","1,500"
FAIRVIEW,800,900,"1,000","1,100","1,276"
FALHER,600,910,975,800,928
FAUST,666,922,"1,150","1,347","1,562"
FERINTOSH,794,892,"1,031","1,239","1,500"
FISH CREEK,"1,600","1,700","1,850","2,211",NA
FOREMOST,837,877,"1,070","1,265","1,371"
FORESTBURG,794,892,"1,031","1,239","1,500"
FORT ASSINIBOINE,807,952,"1,084","1,181","1,500"
FORT CHIPEWYAN,666,922,"1,150","1,347","1,562"
FORT MACLEOD,900,800,"1,050","1,725","1,700"
FORT MCKAY,666,922,"1,150","1,347","1,562"
FORT MCMURRAY,960,"1,185","1,415","1,600","1,856"
FORT SASKATCHEWAN,"1,088","1,295","1,449","1,681",NA
FORT VERMILLION,666,922,"1,150","1,347","1,562"
FOX CREEK,840,"1,000","1,163","1,500","1,740"
GALAHAD,794,892,"1,031","1,239","1,500"
GIBBONS,995,"1,185","1,425","1,653",NA
GIROUXVILLE,666,922,"1,150","1,347","1,562"
GLEICHEN,837,877,"1,070","1,265","1,371"
GLENDON,807,952,"1,084","1,181","1,500"
GOLDEN DAYS,995,"1,185","1,425","1,653",NA
GRAND CENTRE,966,"1,150","1,250","1,190","1,380"
GRANDE CACHE,575,750,900,"1,450","1,682"
GRANDE CACHE CO-OPS,807,952,"1,084","1,181","1,500"
GRANDE PRAIRIE,"1,010","1,139","1,300","1,422","1,650"
GRANUM,837,877,"1,070","1,265","1,371"
GRIMSHAW,735,875,"1,100","1,276","1,480"
GROVEDALE,"1,010","1,139","1,300","1,422","1,650"
GUNN,807,952,"1,084","1,181","1,500"
GWYNNE,969,"1,038","1,276","1,480","1,717"
HANNA,630,750,900,850,986
HARDISTY,794,892,"1,031","1,239","1,500"
HEISLER,837,877,"1,070","1,265","1,371"
HIGH LEVEL,750,975,"1,300","1,330","1,543"
HIGH PRAIRIE,900,968,"1,100","1,450","1,682"
HIGH RIVER,"1,008","1,200","1,150","1,334","1,547"
HINES CREEK,666,922,"1,150","1,347","1,562"
HINTON,650,"1,000","1,100","1,250","1,450"
HOLDEN,807,952,"1,084","1,181","1,500"
HUGHENDEN,794,892,"1,031","1,239","1,500"
HYTHE,666,922,"1,150","1,347","1,562"
INNISFAIL,900,895,995,"1,150","1,334"
INNISFREE,807,952,"1,084","1,181","1,500"
IRMA,794,892,"1,031","1,239","1,500"
IRRICANA,"1,159","1,380","1,750","2,030",NA
IRVINE,"1,090","1,205","1,150","1,450","1,682"
ISLAY,807,952,"1,084","1,181","1,500"
ITASKA BEACH,995,"1,185","1,425","1,653",NA
JACKSON,850,950,"1,279","1,395",NA
JANVIER,666,922,"1,150","1,347","1,562"
JARVIE,807,952,"1,084","1,181","1,500"
JASPER,794,892,"1,031","1,239","1,500"
JASPER PLACE,925,"1,050","1,295","1,450",NA
JOFFRE,850,950,"1,279","1,395",NA
JOSEPHBURG,"1,226","1,460","1,750","2,125",NA
KAPASIWIN,995,"1,185","1,425","1,653",NA
KEOMA,"1,159","1,380","1,750","2,030",NA
KILLAM,794,892,"1,031","1,239","1,500"
KINUSO,666,922,"1,150","1,347","1,562"
KITSCOTY,807,952,"1,084","1,181","1,500"
LA CRETE,666,922,"1,150","1,347","1,562"
LA GLACE,666,922,"1,150","1,347","1,562"
LAC LA BICHE,666,922,"1,150","1,347","1,562"
LACOMBE,840,"1,000","1,475","1,050","1,218"
